,Synset,Tipo,Info
150,04904352-n,slk:lemma,pokoj
151,03327234-n,slk:lemma,hradba
152,02260362-v,slk:lemma,obchodovať s
153,04776299-n,slk:lemma,nehybnosť
154,08180190-n,slk:lemma,masa
155,09142771-n,slk:lemma,Amarillo
156,05706954-n,slk:lemma,opomenutie
157,00419644-n,slk:lemma,harašenie
158,11808468-n,slk:lemma,klinček záhradný
159,04345915-n,slk:lemma,úskalie
160,06313651-n,slk:lemma,výraz
161,09789566-n,slk:lemma,"osoba, ktorá prekonala amputáciu"
162,10102969-n,slk:lemma,predok
163,13862780-n,slk:lemma,geometrický obrazec
164,08836329-n,slk:lemma,Austronézia
165,02138921-n,slk:lemma,Chiroptera
166,01323958-v,slk:lemma,zabiť
167,04574999-n,slk:lemma,koleso
168,00752493-v,slk:lemma,prosiť
169,02344070-s,slk:lemma,pravý
170,06750804-n,slk:lemma,výrok
171,10402086-n,slk:lemma,horlivec
172,00998399-v,slk:lemma,nahrať
173,09379938-n,slk:lemma,rieka Orinoco
174,03930630-n,slk:lemma,ľahký nákladný automobil
175,13824815-n,slk:lemma,podiel
176,06429590-n,slk:lemma,posvätný text
177,01874568-v,slk:lemma,spustiť na vodu
178,07289014-n,slk:lemma,problém
179,00028471-s,slk:lemma,zdanlivý
180,02031473-s,slk:lemma,liberálny
181,07837362-n,slk:lemma,biela omáčka
182,06082136-n,slk:lemma,poznávacia neuroveda
183,01960911-v,slk:lemma,plávať
184,01038580-s,slk:lemma,obecný
185,06184270-n,slk:lemma,kresťanská teológia
186,02564674-v,slk:lemma,brať ohľad (na niekoho)
187,01874875-v,slk:lemma,"uniesť, odniesť po vode"
188,00487653-a,slk:lemma,nezvyčajný
189,00046522-n,slk:lemma,dotyk
190,02864593-n,slk:lemma,stĺp
191,02464223-n,slk:lemma,slabina (u zvierat)
192,01069809-v,slk:lemma,prosiť (o niečo)
193,02471327-v,slk:lemma,zapisovať sa
194,00360932-v,slk:lemma,rodiť sa
195,07959016-n,slk:lemma,výsledná suma
196,01697628-v,slk:lemma,načrtať
197,02572119-v,slk:lemma,ošmeknúť
198,01428155-n,slk:lemma,nadrad Malacopterygii
199,00437125-v,slk:lemma,obmeniť
200,06551784-n,slk:lemma,právny názor
201,02675856-a,slk:lemma,kalichovitý
202,03510072-n,slk:lemma,tepelný štít
203,05262185-n,slk:lemma,fúzy
204,01846413-a,slk:lemma,prítomný
205,00041361-a,slk:lemma,aktívny
206,09391644-n,slk:lemma,úpätie hory
207,02638392-a,slk:lemma,archeologický
208,05037197-n,slk:lemma,vážnosť
209,03191967-n,slk:lemma,Cataflam
210,07199922-n,slk:lemma,odveta
211,00876989-a,slk:lemma,exportný
212,02747709-v,slk:lemma,pokračovať
213,03051249-n,slk:lemma,štipec na bielizeň
214,02914991-n,slk:lemma,komplex budov
215,00807078-n,slk:lemma,synchronizácia
216,00839834-v,slk:lemma,vychvaľovať
217,04460130-n,slk:lemma,veža
218,00674607-v,slk:lemma,voliť
219,00597385-v,slk:lemma,zvládať
220,06506191-n,slk:lemma,pamätný spis
221,02167052-v,slk:lemma,pozerať sa
222,06269396-n,slk:lemma,číslo
223,00907919-n,slk:lemma,tvorba filmov
224,00509607-v,slk:lemma,škvrniť
225,02169119-v,slk:lemma,vysliediť
226,02274482-v,slk:lemma,robiť si neoprávnené nároky
227,00419375-v,slk:lemma,zmierňovať
228,07551691-n,slk:lemma,dobrá nálada
229,03276179-n,slk:lemma,elektromagnet
230,00447221-n,slk:lemma,sánkovanie
231,11911274-n,slk:lemma,Campanulales
232,01647983-s,slk:lemma,dospievajúci
233,00221583-r,slk:lemma,vo všeobecnosti
234,02549211-v,slk:lemma,poštvať
235,00084759-r,slk:lemma,zvlášť
236,02262752-v,slk:lemma,predkladať
237,02959942-n,slk:lemma,vagón
238,02405805-s,slk:lemma,dobrodružný
239,07672914-n,slk:lemma,margarín
240,00835609-a,slk:lemma,neúčinný
241,15137890-n,slk:lemma,prázdniny
242,00173338-v,slk:lemma,odstaviť
243,00856824-v,slk:lemma,chváliť
244,03209666-n,slk:lemma,mechanika diskovej pamäte
