,Synset,Tipo,Info
151,05653848-n,lit:lemma,eksterorecepcija
152,00717358-v,lit:lemma,atsiliepti
153,01486854-s,lit:lemma,vienodas
154,06367107-n,lit:lemma,grožinė literatūra
155,05284132-n,lit:lemma,viršutinis žandikaulis
156,00104539-n,lit:lemma,metimas
157,02479323-v,lit:lemma,išduoti
158,01070187-n,lit:lemma,dieta
159,00602117-s,lit:lemma,diskusinis
160,03731164-n,lit:lemma,matracas
161,01120448-n,lit:lemma,apmokėjimas
162,10626540-n,lit:lemma,burtininkė
163,00043195-n,lit:lemma,atskleidimas
164,00024720-n,lit:lemma,situacija
165,00132158-r,lit:lemma,asmeniškai
166,14042165-n,lit:lemma,hipokapnija
167,13658998-n,lit:lemma,decimetras
168,00060477-v,lit:lemma,sterilizuoti
169,13290676-n,lit:lemma,žalos atlyginimas
170,10053004-n,lit:lemma,imperatorius
171,00552089-s,lit:lemma,įvykdytas
172,13676544-n,lit:lemma,forintas
173,00665630-v,lit:lemma,įrodyti
174,01256332-a,lit:lemma,karštas
175,00176880-r,lit:lemma,keletą kartų
176,07214432-n,lit:lemma,atradimas
177,05939636-n,lit:lemma,regimybė
178,05633385-n,lit:lemma,pramanas
179,14120767-n,lit:lemma,hipertireozė
180,01614925-n,lit:lemma,baltagalvis erelis
181,02941408-n,lit:lemma,taikos pypkė
182,04694980-n,lit:lemma,pirštų atspaudas
183,14825062-n,lit:lemma,dengiamoji medžiaga
184,01294975-s,lit:lemma,kitas
185,00002573-v,lit:lemma,atsikvėpti
186,00372660-r,lit:lemma,diskretiškai
187,04576211-n,lit:lemma,ratinė transporto priemonė
188,00426757-n,lit:lemma,neokolonializmas
189,00751145-n,lit:lemma,falsifikavimas
190,04634161-n,lit:lemma,gyvybingumas
191,04703424-n,lit:lemma,neskaidrumas
192,00100253-n,lit:lemma,koncertas
193,00305570-r,lit:lemma,giliai
194,07121157-n,lit:lemma,riksmas
195,05476094-n,lit:lemma,jungtis
196,02165432-s,lit:lemma,nesvarbus
197,00505410-s,lit:lemma,neprilygstamas
198,14441498-n,lit:lemma,negarbė
199,04213626-n,lit:lemma,šonas
200,00288880-n,lit:lemma,žengimas
201,01973311-s,lit:lemma,pridėtas
202,00051590-r,lit:lemma,tiesiai
203,01896031-n,lit:lemma,pūkas
204,03045750-a,lit:lemma,australų
205,00067966-a,lit:lemma,apdairus
206,00496127-r,lit:lemma,tyčia
207,10111023-n,lit:lemma,laisvas žmogus
208,00034288-v,lit:lemma,daryti grimasas
209,09979589-n,lit:lemma,kritikas
210,01151951-s,lit:lemma,akmeninis
211,05445668-n,lit:lemma,organoidas
212,00470930-a,lit:lemma,išleistas
213,14173484-n,lit:lemma,angina
214,11463073-n,lit:lemma,gama spinduliai
215,00335768-s,lit:lemma,neabejotinas
216,05647156-n,lit:lemma,beprotybė
217,10727256-n,lit:lemma,iždininkas
218,05303232-n,lit:lemma,gimdos kaklelis
219,06639674-n,lit:lemma,rodiklis
220,00016756-a,lit:lemma,trūkstamas
221,00466880-n,lit:lemma,kroketas
222,00030358-n,lit:lemma,poelgis
223,10150556-n,lit:lemma,sukilėlis
224,13903576-n,lit:lemma,išorinė siena
225,08274565-n,lit:lemma,grupė
226,13925340-n,lit:lemma,soties taškas
227,01990653-s,lit:lemma,atkaklus
228,01712753-s,lit:lemma,skaudus
229,09012297-n,lit:lemma,Estijos Respublika
230,00002684-n,lit:lemma,daiktas
231,14677778-n,lit:lemma,gipsas
232,06427387-n,lit:lemma,enciklopedija
233,09877951-n,lit:lemma,draugas
234,00071242-s,lit:lemma,apimtas
235,02632838-v,lit:lemma,ne būti
236,07028373-n,lit:lemma,melodija
237,03974215-n,lit:lemma,smaigalys
238,07574504-n,lit:lemma,gaivinamieji gėrimai
239,02889746-a,lit:lemma,laivybinis
240,06643408-n,lit:lemma,įrodymas
241,00187028-r,lit:lemma,gerai
242,04981139-n,lit:lemma,garsas
243,00522885-s,lit:lemma,visiškas
244,03025250-n,lit:lemma,batai su platforma
245,00387392-s,lit:lemma,sidabruotas
246,02954340-n,lit:lemma,kepurė
247,00183823-r,lit:lemma,oriai
248,01163941-s,lit:lemma,harmoningas
249,00003380-r,lit:lemma,apmaudžiai
250,01237901-v,lit:lemma,praleisti
251,00764484-s,lit:lemma,tiesus
252,04836268-n,lit:lemma,ambicija
253,00012071-s,lit:lemma,konceptualus
254,04871720-n,lit:lemma,atvirumas
255,10180923-n,lit:lemma,plėšikas
256,04675193-n,lit:lemma,odos tipas
257,04439840-n,lit:lemma,alavuotoji skarda
258,01767329-a,lit:lemma,asmeninis
259,04650201-n,lit:lemma,humoras
260,03214966-n,lit:lemma,sofa be atlošo
261,02465350-s,lit:lemma,patikimas
262,06660396-n,lit:lemma,kvota (importo)
263,13152742-n,lit:lemma,lapija
264,02861886-n,lit:lemma,kėbulas
265,07954211-n,lit:lemma,nuostatai
266,03541696-n,lit:lemma,nakvynės namai
267,05685363-n,lit:lemma,sumišimas
268,10283170-n,lit:lemma,majoras
269,04847482-n,lit:lemma,dorumas
270,04409712-n,lit:lemma,kortas
271,14328290-n,lit:lemma,strėnų skausmas
272,00326608-s,lit:lemma,ūmus
273,03081021-n,lit:lemma,sudedamoji dalis
274,03427656-n,lit:lemma,loginis elementas
275,14477342-n,lit:lemma,sielvartas
276,00628491-v,lit:lemma,galvoti
277,13776971-n,lit:lemma,daugybė
278,07196075-n,lit:lemma,interviu
279,13614764-n,lit:lemma,skysčių matavimo vienetas
280,00115777-s,lit:lemma,įpykęs
281,00120784-s,lit:lemma,nežinomas
282,09916348-n,lit:lemma,generalinis direktorius
283,10612210-n,lit:lemma,nevala
284,00250153-r,lit:lemma,lygiai
285,13979503-n,lit:lemma,bruzdėjimas
286,00048268-r,lit:lemma,šiuo metu
287,02111981-s,lit:lemma,genties
288,01536094-s,lit:lemma,šiandieninis
289,09731571-n,lit:lemma,pietų amerikietis
290,06123363-n,lit:lemma,architektūra
291,01123095-n,lit:lemma,migracija
292,00610532-a,lit:lemma,branduolinis
293,07085375-n,lit:lemma,kirtis
294,03445217-n,lit:lemma,aukso gysla
295,14424517-n,lit:lemma,atnaujinimas
296,09918248-n,lit:lemma,atžala
297,10060352-n,lit:lemma,verslininkas
298,08308497-n,lit:lemma,konferencija
299,02429695-n,lit:lemma,elniniai
300,10390427-n,lit:lemma,pakuotojas
301,00974367-v,lit:lemma,paskelbti
302,01439190-v,lit:lemma,čiupti
303,15238570-n,lit:lemma,sezono įkarštis
304,09366017-n,lit:lemma,žemuma
305,00059127-n,lit:lemma,išsisukimas
306,07217924-n,lit:lemma,žinia
307,10325656-n,lit:lemma,asas
308,03103128-n,lit:lemma,variklio aušinimo sistema
309,00077950-v,lit:lemma,pasmaugti
310,02120692-n,lit:lemma,katiniai
311,07051185-n,lit:lemma,bliuzas
312,05298988-n,lit:lemma,viduriai
313,05399847-n,lit:lemma,kraujas
314,00258530-n,lit:lemma,turkiška pirtis
315,03542333-n,lit:lemma,viešbutis
316,02834778-n,lit:lemma,dviratis
317,00099951-n,lit:lemma,fokusas
318,03438071-n,lit:lemma,diržas
319,04999401-n,lit:lemma,antsvoris
320,02126430-s,lit:lemma,išdėstytas
321,05836468-n,lit:lemma,supratimas
322,06831177-n,lit:lemma,a
323,14360320-n,lit:lemma,pykinimas
324,05926358-n,lit:lemma,giliamintiškumas
325,00413573-r,lit:lemma,nuošalėje
326,01580050-a,lit:lemma,reikalingas
327,11408559-n,lit:lemma,natūralus reiškinys
328,02929289-n,lit:lemma,atrama
329,00368663-r,lit:lemma,būtent
330,14939900-n,lit:lemma,skystis
331,02031158-v,lit:lemma,atskirti
332,00260881-n,lit:lemma,žemės reforma
333,03068181-n,lit:lemma,apykaklė
334,01083077-n,lit:lemma,išskirstymas
335,01158872-v,lit:lemma,naudoti
336,05545879-n,lit:lemma,didžioji anga
337,03932499-n,lit:lemma,pavyzdys
338,02821071-a,lit:lemma,miestietiškas
339,00431552-n,lit:lemma,pomėgis
340,07307895-n,lit:lemma,elektros išlydis
341,01157850-n,lit:lemma,privaloma karinė tarnyba
342,08322981-n,lit:lemma,taryba
343,00447472-s,lit:lemma,gretimas
344,00029836-v,lit:lemma,verkti iš juoko
345,00015946-v,lit:lemma,žiemoti
346,15133621-n,lit:lemma,trukimas
347,01412415-a,lit:lemma,neįtikimas
348,10448983-n,lit:lemma,policininkas
349,02200198-n,lit:lemma,uodas
350,08497294-n,lit:lemma,šaka (mokslo)
351,00815686-v,lit:lemma,atsakyti
352,05943066-n,lit:lemma,pasitikėjimas
353,00724397-s,lit:lemma,patikimas
354,06090869-n,lit:lemma,fizika
355,04955160-n,lit:lemma,žvilgesys
356,02363811-s,lit:lemma,imunizuotas
357,09348236-n,lit:lemma,Masačusetso įlanka
358,13331778-n,lit:lemma,resursai
359,01141468-s,lit:lemma,nenatūralus
360,01102436-n,lit:lemma,publikacija
361,01718867-a,lit:lemma,įstrižas
362,01346003-v,lit:lemma,atsidaryti
363,02006228-a,lit:lemma,tinkliškas
364,00014405-v,lit:lemma,ilsėtis
365,10428004-n,lit:lemma,fizikas
366,02341864-s,lit:lemma,meistriškas
367,01203277-n,lit:lemma,kolektyvinis naujų idėjų svarstymas
368,07670731-n,lit:lemma,odelė
369,00348018-s,lit:lemma,nekintantis
370,09285254-n,lit:lemma,nuolauža
371,01515280-s,lit:lemma,veikiantis
372,02931227-a,lit:lemma,sakramentinis
373,01064148-n,lit:lemma,poilsis
374,10652954-n,lit:lemma,statistikas
375,09989290-n,lit:lemma,dama
376,06379439-n,lit:lemma,idilė
377,03908204-n,lit:lemma,pieštukas
378,10694163-n,lit:lemma,mokesčių mokėtojas
379,02964482-a,lit:lemma,slovakiškas
380,00047903-r,lit:lemma,galų gale
381,04933363-n,lit:lemma,struktūra
382,06787150-n,lit:lemma,adresas
383,05549576-n,lit:lemma,pažastis
384,02830501-a,lit:lemma,literatūros
385,14374432-n,lit:lemma,nerimas
386,08162691-n,lit:lemma,Didžiosios Britanijos parlamento žemieji rūmai
